intervention_id,complaint_id,intervention_type,outcome,time_to_action_hours,recipient_response
INT-001484,CMP-001484,JURISDICTION_HANDOFF,SUCCESS,45.16,ACTED
INT-001485,CMP-001485,NO_ACTION,NO_ACTION,47.88,ACTED
INT-001486,CMP-001486,LIEN_MARK,PARTIAL,36.47,ACTED
INT-001487,CMP-001487,JURISDICTION_HANDOFF,PARTIAL,27.94,ACTED
INT-001488,CMP-001488,JURISDICTION_HANDOFF,PARTIAL,25.6,ACTED
INT-001489,CMP-001489,ENDPOINT_WATCH,PARTIAL,35.12,ACTED
INT-001490,CMP-001490,NO_ACTION,SUCCESS,10.98,ACTED
INT-001491,CMP-001491,LIEN_MARK,SUCCESS,16.9,ALREADY_ACTIONED
INT-001492,CMP-001492,NO_ACTION,NO_ACTION,38.53,NOT_ACTED
INT-001493,CMP-001493,NO_ACTION,SUCCESS,17.72,ACTED
INT-001494,CMP-001494,NO_ACTION,SUCCESS,45.56,NOT_ACTED
INT-001495,CMP-001495,JURISDICTION_HANDOFF,SUCCESS,4.35,ACTED
INT-001496,CMP-001496,ACCOUNT_FREEZE,NO_ACTION,23.62,NOT_ACTED
INT-001497,CMP-001497,NO_ACTION,SUCCESS,45.01,NOT_ACTED
INT-001498,CMP-001498,ACCOUNT_FREEZE,PARTIAL,4.55,FALSE_POSITIVE
INT-001499,CMP-001499,ENDPOINT_WATCH,SUCCESS,27.56,ALREADY_ACTIONED
INT-001500,CMP-001500,ACCOUNT_FREEZE,SUCCESS,27.5,NOT_ACTED
INT-001501,CMP-001501,JURISDICTION_HANDOFF,SUCCESS,27.81,ALREADY_ACTIONED
INT-001502,CMP-001502,LIEN_MARK,SUCCESS,17.75,OUT_OF_SCOPE
INT-001503,CMP-001503,LIEN_MARK,PARTIAL,37.83,ACTED
INT-001504,CMP-001504,NO_ACTION,SUCCESS,26.56,NOT_ACTED
INT-001505,CMP-001505,ACCOUNT_FREEZE,SUCCESS,21.56,ALREADY_ACTIONED
INT-001506,CMP-001506,JURISDICTION_HANDOFF,SUCCESS,22.96,OUT_OF_SCOPE
INT-001507,CMP-001507,NO_ACTION,SUCCESS,22.34,ACTED
INT-001508,CMP-001508,ACCOUNT_FREEZE,SUCCESS,32.24,NOT_ACTED
INT-001509,CMP-001509,ACCOUNT_FREEZE,SUCCESS,14.59,OUT_OF_SCOPE
INT-001510,CMP-001510,ACCOUNT_FREEZE,PARTIAL,29.88,NOT_ACTED
INT-001511,CMP-001511,NO_ACTION,SUCCESS,11.44,FALSE_POSITIVE
INT-001512,CMP-001512,LIEN_MARK,NO_ACTION,34.25,FALSE_POSITIVE
INT-001513,CMP-001513,ACCOUNT_FREEZE,SUCCESS,18.94,ACTED
INT-001514,CMP-001514,NO_ACTION,SUCCESS,37.55,ACTED
INT-001515,CMP-001515,JURISDICTION_HANDOFF,SUCCESS,39.01,ALREADY_ACTIONED
INT-001516,CMP-001516,ENDPOINT_WATCH,NO_ACTION,28.96,FALSE_POSITIVE
INT-001517,CMP-001517,LIEN_MARK,SUCCESS,11.11,FALSE_POSITIVE
INT-001518,CMP-001518,ENDPOINT_WATCH,PARTIAL,14.3,ACTED
INT-001519,CMP-001519,ACCOUNT_FREEZE,PARTIAL,40.77,OUT_OF_SCOPE
INT-001520,CMP-001520,LIEN_MARK,SUCCESS,12.96,ALREADY_ACTIONED
INT-001521,CMP-001521,LIEN_MARK,SUCCESS,22.95,ACTED
INT-001522,CMP-001522,ACCOUNT_FREEZE,PARTIAL,33.43,OUT_OF_SCOPE
INT-001523,CMP-001523,ENDPOINT_WATCH,NO_ACTION,11.55,FALSE_POSITIVE
INT-001524,CMP-001524,ENDPOINT_WATCH,PARTIAL,46.65,ACTED
INT-001525,CMP-001525,NO_ACTION,SUCCESS,41.35,ACTED
INT-001526,CMP-001526,NO_ACTION,SUCCESS,30.02,ACTED
INT-001527,CMP-001527,LIEN_MARK,NO_ACTION,19.37,ALREADY_ACTIONED
INT-001528,CMP-001528,JURISDICTION_HANDOFF,SUCCESS,37.31,ALREADY_ACTIONED
INT-001529,CMP-001529,ACCOUNT_FREEZE,PARTIAL,32.03,ACTED
INT-001530,CMP-001530,JURISDICTION_HANDOFF,SUCCESS,39.74,NOT_ACTED
INT-001531,CMP-001531,ENDPOINT_WATCH,SUCCESS,10.49,ACTED
INT-001532,CMP-001532,JURISDICTION_HANDOFF,PARTIAL,11.35,OUT_OF_SCOPE
INT-001533,CMP-001533,NO_ACTION,SUCCESS,11.85,FALSE_POSITIVE
INT-001534,CMP-001534,NO_ACTION,NO_ACTION,27.5,ALREADY_ACTIONED
INT-001535,CMP-001535,ENDPOINT_WATCH,PARTIAL,24.72,OUT_OF_SCOPE
INT-001536,CMP-001536,ACCOUNT_FREEZE,PARTIAL,19.95,FALSE_POSITIVE
INT-001537,CMP-001537,LIEN_MARK,NO_ACTION,12.85,OUT_OF_SCOPE
INT-001538,CMP-001538,ACCOUNT_FREEZE,NO_ACTION,38.66,ALREADY_ACTIONED
INT-001539,CMP-001539,JURISDICTION_HANDOFF,PARTIAL,23.62,ALREADY_ACTIONED
INT-001540,CMP-001540,LIEN_MARK,SUCCESS,15.84,NOT_ACTED
INT-001541,CMP-001541,ENDPOINT_WATCH,SUCCESS,42.01,FALSE_POSITIVE
INT-001542,CMP-001542,NO_ACTION,NO_ACTION,6.29,ALREADY_ACTIONED
INT-001543,CMP-001543,ACCOUNT_FREEZE,NO_ACTION,45.87,ACTED
INT-001544,CMP-001544,LIEN_MARK,PARTIAL,22.2,ACTED
INT-001545,CMP-001545,NO_ACTION,NO_ACTION,16.9,ACTED
INT-001546,CMP-001546,LIEN_MARK,SUCCESS,13.16,ACTED
INT-001547,CMP-001547,ENDPOINT_WATCH,SUCCESS,29.9,OUT_OF_SCOPE
INT-001548,CMP-001548,ENDPOINT_WATCH,NO_ACTION,9.4,ALREADY_ACTIONED
INT-001549,CMP-001549,LIEN_MARK,SUCCESS,38.96,ALREADY_ACTIONED
INT-001550,CMP-001550,ACCOUNT_FREEZE,PARTIAL,17.71,ALREADY_ACTIONED
INT-001551,CMP-001551,ENDPOINT_WATCH,SUCCESS,24.73,ACTED
INT-001552,CMP-001552,LIEN_MARK,SUCCESS,29.1,ACTED
INT-001553,CMP-001553,LIEN_MARK,SUCCESS,17.44,ACTED
INT-001554,CMP-001554,LIEN_MARK,PARTIAL,31.92,ALREADY_ACTIONED
INT-001555,CMP-001555,LIEN_MARK,NO_ACTION,35.08,NOT_ACTED
INT-001556,CMP-001556,JURISDICTION_HANDOFF,PARTIAL,13.14,ALREADY_ACTIONED
INT-001557,CMP-001557,LIEN_MARK,SUCCESS,24.65,ACTED
INT-001558,CMP-001558,JURISDICTION_HANDOFF,SUCCESS,47.92,ALREADY_ACTIONED
INT-001559,CMP-001559,LIEN_MARK,SUCCESS,25.72,ALREADY_ACTIONED
INT-001560,CMP-001560,ACCOUNT_FREEZE,NO_ACTION,36.3,ALREADY_ACTIONED
INT-001561,CMP-001561,ACCOUNT_FREEZE,SUCCESS,23.98,ALREADY_ACTIONED
INT-001562,CMP-001562,ACCOUNT_FREEZE,SUCCESS,33.74,OUT_OF_SCOPE
INT-001563,CMP-001563,ENDPOINT_WATCH,SUCCESS,20.42,NOT_ACTED
INT-001564,CMP-001564,JURISDICTION_HANDOFF,SUCCESS,24.13,OUT_OF_SCOPE
INT-001565,CMP-001565,JURISDICTION_HANDOFF,SUCCESS,39.17,FALSE_POSITIVE
INT-001566,CMP-001566,NO_ACTION,NO_ACTION,44.48,ALREADY_ACTIONED
INT-001567,CMP-001567,LIEN_MARK,SUCCESS,18.79,FALSE_POSITIVE
INT-001568,CMP-001568,ENDPOINT_WATCH,SUCCESS,42.09,ACTED
INT-001569,CMP-001569,JURISDICTION_HANDOFF,PARTIAL,18.79,ACTED
INT-001570,CMP-001570,ACCOUNT_FREEZE,SUCCESS,9.8,NOT_ACTED
INT-001571,CMP-001571,LIEN_MARK,SUCCESS,10.19,NOT_ACTED
INT-001572,CMP-001572,ENDPOINT_WATCH,NO_ACTION,15.69,ACTED
INT-001573,CMP-001573,JURISDICTION_HANDOFF,SUCCESS,7.84,ALREADY_ACTIONED
INT-001574,CMP-001574,LIEN_MARK,NO_ACTION,22.87,ALREADY_ACTIONED
INT-001575,CMP-001575,LIEN_MARK,SUCCESS,46.21,ACTED
INT-001576,CMP-001576,ACCOUNT_FREEZE,SUCCESS,18.56,NOT_ACTED
INT-001577,CMP-001577,ENDPOINT_WATCH,NO_ACTION,47.19,NOT_ACTED
INT-001578,CMP-001578,NO_ACTION,SUCCESS,46.55,ACTED
INT-001579,CMP-001579,NO_ACTION,SUCCESS,25.77,ACTED
INT-001580,CMP-001580,NO_ACTION,SUCCESS,42.68,NOT_ACTED
INT-001581,CMP-001581,JURISDICTION_HANDOFF,SUCCESS,40.13,ACTED
INT-001582,CMP-001582,ACCOUNT_FREEZE,SUCCESS,19.57,ACTED
INT-001583,CMP-001583,LIEN_MARK,SUCCESS,5.65,ACTED
INT-001584,CMP-001584,ENDPOINT_WATCH,SUCCESS,34.84,ACTED
INT-001585,CMP-001585,JURISDICTION_HANDOFF,SUCCESS,31.13,OUT_OF_SCOPE
INT-001586,CMP-001586,NO_ACTION,PARTIAL,46.08,ACTED
INT-001587,CMP-001587,LIEN_MARK,SUCCESS,36.97,ACTED
INT-001588,CMP-001588,ENDPOINT_WATCH,PARTIAL,4.39,ACTED
INT-001589,CMP-001589,ACCOUNT_FREEZE,SUCCESS,3.46,ACTED
INT-001590,CMP-001590,ENDPOINT_WATCH,SUCCESS,34.55,ACTED
INT-001591,CMP-001591,JURISDICTION_HANDOFF,SUCCESS,28.98,ACTED
INT-001592,CMP-001592,LIEN_MARK,PARTIAL,19.76,ACTED
INT-001593,CMP-001593,ENDPOINT_WATCH,PARTIAL,28.19,ALREADY_ACTIONED
INT-001594,CMP-001594,JURISDICTION_HANDOFF,SUCCESS,28.86,NOT_ACTED
INT-001595,CMP-001595,LIEN_MARK,SUCCESS,31.56,ACTED
INT-001596,CMP-001596,ACCOUNT_FREEZE,NO_ACTION,37.69,ALREADY_ACTIONED
INT-001597,CMP-001597,ENDPOINT_WATCH,PARTIAL,19.62,OUT_OF_SCOPE
INT-001598,CMP-001598,LIEN_MARK,PARTIAL,46.89,FALSE_POSITIVE
INT-001599,CMP-001599,ENDPOINT_WATCH,SUCCESS,11.54,ACTED
INT-001600,CMP-001600,ACCOUNT_FREEZE,PARTIAL,3.71,ACTED
INT-001601,CMP-001601,NO_ACTION,SUCCESS,45.06,NOT_ACTED
INT-001602,CMP-001602,ENDPOINT_WATCH,NO_ACTION,37.64,ALREADY_ACTIONED
INT-001603,CMP-001603,ENDPOINT_WATCH,NO_ACTION,31.74,ALREADY_ACTIONED
INT-001604,CMP-001604,LIEN_MARK,SUCCESS,32.57,ACTED
INT-001605,CMP-001605,LIEN_MARK,NO_ACTION,8.15,NOT_ACTED
INT-001606,CMP-001606,ENDPOINT_WATCH,SUCCESS,13.33,ACTED
INT-001607,CMP-001607,ENDPOINT_WATCH,PARTIAL,11.39,ACTED
INT-001608,CMP-001608,LIEN_MARK,SUCCESS,13.13,NOT_ACTED
INT-001609,CMP-001609,JURISDICTION_HANDOFF,SUCCESS,41.08,ALREADY_ACTIONED
INT-001610,CMP-001610,JURISDICTION_HANDOFF,SUCCESS,38.3,ACTED
INT-001611,CMP-001611,LIEN_MARK,PARTIAL,46.08,ACTED
INT-001612,CMP-001612,ACCOUNT_FREEZE,SUCCESS,31.22,ALREADY_ACTIONED
INT-001613,CMP-001613,ENDPOINT_WATCH,NO_ACTION,47.54,ACTED
INT-001614,CMP-001614,JURISDICTION_HANDOFF,SUCCESS,3.46,ALREADY_ACTIONED
INT-001615,CMP-001615,LIEN_MARK,SUCCESS,34.44,NOT_ACTED
INT-001616,CMP-001616,ACCOUNT_FREEZE,PARTIAL,30.78,ACTED
INT-001617,CMP-001617,ACCOUNT_FREEZE,SUCCESS,3.09,ACTED
INT-001618,CMP-001618,NO_ACTION,SUCCESS,35.65,ACTED
INT-001619,CMP-001619,ENDPOINT_WATCH,SUCCESS,13.62,NOT_ACTED
INT-001620,CMP-001620,ACCOUNT_FREEZE,NO_ACTION,37.92,ACTED
INT-001621,CMP-001621,ACCOUNT_FREEZE,SUCCESS,41.58,NOT_ACTED
INT-001622,CMP-001622,JURISDICTION_HANDOFF,NO_ACTION,27.74,FALSE_POSITIVE
INT-001623,CMP-001623,NO_ACTION,SUCCESS,45.38,ACTED
INT-001624,CMP-001624,LIEN_MARK,SUCCESS,14.69,NOT_ACTED
INT-001625,CMP-001625,ACCOUNT_FREEZE,SUCCESS,27.87,ACTED
INT-001626,CMP-001626,ENDPOINT_WATCH,SUCCESS,42.77,ACTED
INT-001627,CMP-001627,ACCOUNT_FREEZE,SUCCESS,4.21,ACTED
INT-001628,CMP-001628,ACCOUNT_FREEZE,SUCCESS,47.55,OUT_OF_SCOPE
INT-001629,CMP-001629,LIEN_MARK,SUCCESS,19.67,NOT_ACTED
INT-001630,CMP-001630,ACCOUNT_FREEZE,SUCCESS,29.99,ACTED
INT-001631,CMP-001631,NO_ACTION,SUCCESS,31.03,ACTED
INT-001632,CMP-001632,ACCOUNT_FREEZE,PARTIAL,26.85,NOT_ACTED
INT-001633,CMP-001633,NO_ACTION,NO_ACTION,4.58,FALSE_POSITIVE
INT-001634,CMP-001634,ENDPOINT_WATCH,SUCCESS,47.94,ACTED
INT-001635,CMP-001635,LIEN_MARK,NO_ACTION,42.63,NOT_ACTED
INT-001636,CMP-001636,LIEN_MARK,SUCCESS,16.28,NOT_ACTED
INT-001637,CMP-001637,ACCOUNT_FREEZE,NO_ACTION,8.32,ACTED
INT-001638,CMP-001638,NO_ACTION,PARTIAL,42.85,ALREADY_ACTIONED
INT-001639,CMP-001639,NO_ACTION,PARTIAL,38.21,NOT_ACTED
INT-001640,CMP-001640,JURISDICTION_HANDOFF,SUCCESS,27.33,ACTED
INT-001641,CMP-001641,ENDPOINT_WATCH,NO_ACTION,20.88,FALSE_POSITIVE
INT-001642,CMP-001642,ACCOUNT_FREEZE,PARTIAL,32.78,NOT_ACTED
INT-001643,CMP-001643,NO_ACTION,SUCCESS,10.74,NOT_ACTED
INT-001644,CMP-001644,ENDPOINT_WATCH,PARTIAL,19.59,OUT_OF_SCOPE
INT-001645,CMP-001645,LIEN_MARK,NO_ACTION,36.04,ACTED
INT-001646,CMP-001646,JURISDICTION_HANDOFF,NO_ACTION,15.11,ACTED
INT-001647,CMP-001647,JURISDICTION_HANDOFF,PARTIAL,28.31,NOT_ACTED
INT-001648,CMP-001648,NO_ACTION,PARTIAL,46.52,FALSE_POSITIVE
INT-001649,CMP-001649,LIEN_MARK,SUCCESS,45.8,ACTED
INT-001650,CMP-001650,ENDPOINT_WATCH,NO_ACTION,9.12,NOT_ACTED
INT-001651,CMP-001651,LIEN_MARK,PARTIAL,5.8,NOT_ACTED
INT-001652,CMP-001652,ENDPOINT_WATCH,SUCCESS,6.23,ALREADY_ACTIONED
INT-001653,CMP-001653,NO_ACTION,SUCCESS,18.08,ACTED
INT-001654,CMP-001654,JURISDICTION_HANDOFF,NO_ACTION,45.43,ACTED
INT-001655,CMP-001655,ENDPOINT_WATCH,SUCCESS,22.9,ACTED
INT-001656,CMP-001656,JURISDICTION_HANDOFF,SUCCESS,12.2,ACTED
INT-001657,CMP-001657,NO_ACTION,SUCCESS,15.1,FALSE_POSITIVE
INT-001658,CMP-001658,LIEN_MARK,SUCCESS,38.68,NOT_ACTED
INT-001659,CMP-001659,NO_ACTION,NO_ACTION,42.93,OUT_OF_SCOPE
INT-001660,CMP-001660,JURISDICTION_HANDOFF,SUCCESS,36.22,ACTED
INT-001661,CMP-001661,LIEN_MARK,SUCCESS,28.55,NOT_ACTED
INT-001662,CMP-001662,NO_ACTION,SUCCESS,29.68,ACTED
INT-001663,CMP-001663,JURISDICTION_HANDOFF,PARTIAL,40.24,ACTED
INT-001664,CMP-001664,ENDPOINT_WATCH,NO_ACTION,39.67,ALREADY_ACTIONED
INT-001665,CMP-001665,ENDPOINT_WATCH,SUCCESS,42.19,ACTED
INT-001666,CMP-001666,NO_ACTION,PARTIAL,5.35,OUT_OF_SCOPE
INT-001667,CMP-001667,JURISDICTION_HANDOFF,PARTIAL,22.07,ACTED
INT-001668,CMP-001668,NO_ACTION,NO_ACTION,8.6,ACTED
INT-001669,CMP-001669,LIEN_MARK,SUCCESS,26.01,OUT_OF_SCOPE
INT-001670,CMP-001670,ACCOUNT_FREEZE,SUCCESS,18.35,ACTED
INT-001671,CMP-001671,JURISDICTION_HANDOFF,SUCCESS,42.59,NOT_ACTED
INT-001672,CMP-001672,LIEN_MARK,NO_ACTION,34.48,ACTED
INT-001673,CMP-001673,ENDPOINT_WATCH,SUCCESS,18.32,FALSE_POSITIVE
INT-001674,CMP-001674,NO_ACTION,PARTIAL,11.87,ACTED
INT-001675,CMP-001675,ACCOUNT_FREEZE,SUCCESS,7.49,ACTED
INT-001676,CMP-001676,ENDPOINT_WATCH,SUCCESS,34.93,ACTED
INT-001677,CMP-001677,ENDPOINT_WATCH,NO_ACTION,10.64,ACTED
INT-001678,CMP-001678,NO_ACTION,SUCCESS,29.86,FALSE_POSITIVE
INT-001679,CMP-001679,LIEN_MARK,SUCCESS,10.94,ACTED
INT-001680,CMP-001680,NO_ACTION,SUCCESS,44.99,FALSE_POSITIVE
INT-001681,CMP-001681,ENDPOINT_WATCH,SUCCESS,34.62,ACTED
INT-001682,CMP-001682,ENDPOINT_WATCH,SUCCESS,6.75,ACTED
INT-001683,CMP-001683,NO_ACTION,SUCCESS,14.9,ALREADY_ACTIONED
INT-001684,CMP-001684,NO_ACTION,SUCCESS,3.43,NOT_ACTED
INT-001685,CMP-001685,NO_ACTION,SUCCESS,10.45,ACTED
INT-001686,CMP-001686,LIEN_MARK,PARTIAL,40.46,NOT_ACTED
INT-001687,CMP-001687,ACCOUNT_FREEZE,PARTIAL,24.55,ALREADY_ACTIONED
INT-001688,CMP-001688,LIEN_MARK,SUCCESS,43.06,NOT_ACTED
INT-001689,CMP-001689,ENDPOINT_WATCH,PARTIAL,19.27,NOT_ACTED
INT-001690,CMP-001690,ENDPOINT_WATCH,SUCCESS,11.05,OUT_OF_SCOPE
INT-001691,CMP-001691,ENDPOINT_WATCH,SUCCESS,21.99,NOT_ACTED
INT-001692,CMP-001692,JURISDICTION_HANDOFF,NO_ACTION,27.3,NOT_ACTED
INT-001693,CMP-001693,NO_ACTION,SUCCESS,42.3,ACTED
INT-001694,CMP-001694,ACCOUNT_FREEZE,SUCCESS,39.71,FALSE_POSITIVE
INT-001695,CMP-001695,ENDPOINT_WATCH,SUCCESS,17.15,FALSE_POSITIVE
INT-001696,CMP-001696,LIEN_MARK,SUCCESS,21.56,ACTED
INT-001697,CMP-001697,ACCOUNT_FREEZE,SUCCESS,3.84,ALREADY_ACTIONED
INT-001698,CMP-001698,JURISDICTION_HANDOFF,SUCCESS,33.36,ALREADY_ACTIONED
INT-001699,CMP-001699,ACCOUNT_FREEZE,SUCCESS,10.24,ACTED
INT-001700,CMP-001700,ACCOUNT_FREEZE,SUCCESS,20.44,ACTED
INT-001701,CMP-001701,JURISDICTION_HANDOFF,SUCCESS,19.14,ACTED
INT-001702,CMP-001702,ENDPOINT_WATCH,SUCCESS,4.42,FALSE_POSITIVE
INT-001703,CMP-001703,LIEN_MARK,PARTIAL,47.9,FALSE_POSITIVE
INT-001704,CMP-001704,LIEN_MARK,PARTIAL,46.71,FALSE_POSITIVE
INT-001705,CMP-001705,JURISDICTION_HANDOFF,SUCCESS,40.38,ACTED
INT-001706,CMP-001706,ENDPOINT_WATCH,NO_ACTION,39.22,ACTED
INT-001707,CMP-001707,LIEN_MARK,SUCCESS,28.07,ACTED
INT-001708,CMP-001708,ENDPOINT_WATCH,SUCCESS,40.98,NOT_ACTED
INT-001709,CMP-001709,LIEN_MARK,PARTIAL,5.33,ACTED
INT-001710,CMP-001710,NO_ACTION,PARTIAL,44.8,NOT_ACTED
INT-001711,CMP-001711,LIEN_MARK,NO_ACTION,37.99,FALSE_POSITIVE
INT-001712,CMP-001712,ACCOUNT_FREEZE,SUCCESS,7.56,ACTED
INT-001713,CMP-001713,ENDPOINT_WATCH,SUCCESS,14.81,ALREADY_ACTIONED
INT-001714,CMP-001714,NO_ACTION,SUCCESS,29.09,ACTED
INT-001715,CMP-001715,ENDPOINT_WATCH,PARTIAL,44.17,ACTED
INT-001716,CMP-001716,LIEN_MARK,SUCCESS,8.15,ACTED
INT-001717,CMP-001717,ENDPOINT_WATCH,NO_ACTION,8.97,FALSE_POSITIVE
INT-001718,CMP-001718,ACCOUNT_FREEZE,SUCCESS,14.23,ACTED
INT-001719,CMP-001719,ACCOUNT_FREEZE,PARTIAL,17.71,ACTED
INT-001720,CMP-001720,NO_ACTION,SUCCESS,13.83,FALSE_POSITIVE
INT-001721,CMP-001721,JURISDICTION_HANDOFF,SUCCESS,22.61,ALREADY_ACTIONED
INT-001722,CMP-001722,ACCOUNT_FREEZE,SUCCESS,23.13,OUT_OF_SCOPE
INT-001723,CMP-001723,ENDPOINT_WATCH,SUCCESS,47.81,OUT_OF_SCOPE
INT-001724,CMP-001724,NO_ACTION,SUCCESS,17.96,ACTED
INT-001725,CMP-001725,ENDPOINT_WATCH,PARTIAL,45.43,ACTED
INT-001726,CMP-001726,ACCOUNT_FREEZE,NO_ACTION,12.25,ACTED
INT-001727,CMP-001727,LIEN_MARK,PARTIAL,42.44,ALREADY_ACTIONED
INT-001728,CMP-001728,ACCOUNT_FREEZE,PARTIAL,8.84,ACTED
INT-001729,CMP-001729,ENDPOINT_WATCH,NO_ACTION,31.92,FALSE_POSITIVE
INT-001730,CMP-001730,JURISDICTION_HANDOFF,SUCCESS,39.27,NOT_ACTED
INT-001731,CMP-001731,LIEN_MARK,SUCCESS,29.04,ACTED
INT-001732,CMP-001732,ENDPOINT_WATCH,PARTIAL,30.95,FALSE_POSITIVE
INT-001733,CMP-001733,ENDPOINT_WATCH,SUCCESS,43.72,ACTED
INT-001734,CMP-001734,ENDPOINT_WATCH,NO_ACTION,45.06,ACTED
INT-001735,CMP-001735,NO_ACTION,PARTIAL,13.05,FALSE_POSITIVE
INT-001736,CMP-001736,LIEN_MARK,SUCCESS,24.64,ACTED
INT-001737,CMP-001737,LIEN_MARK,SUCCESS,22.57,NOT_ACTED
INT-001738,CMP-001738,JURISDICTION_HANDOFF,NO_ACTION,31.99,ALREADY_ACTIONED
INT-001739,CMP-001739,JURISDICTION_HANDOFF,SUCCESS,46.62,ALREADY_ACTIONED
INT-001740,CMP-001740,ACCOUNT_FREEZE,NO_ACTION,43.74,FALSE_POSITIVE
INT-001741,CMP-001741,ENDPOINT_WATCH,SUCCESS,42.84,FALSE_POSITIVE
INT-001742,CMP-001742,LIEN_MARK,PARTIAL,17.26,ACTED
INT-001743,CMP-001743,ACCOUNT_FREEZE,PARTIAL,43.01,ACTED
INT-001744,CMP-001744,NO_ACTION,PARTIAL,40.1,ACTED
INT-001745,CMP-001745,JURISDICTION_HANDOFF,NO_ACTION,8.3,OUT_OF_SCOPE
INT-001746,CMP-001746,ACCOUNT_FREEZE,SUCCESS,40.39,ACTED
INT-001747,CMP-001747,NO_ACTION,SUCCESS,3.57,ACTED
INT-001748,CMP-001748,ENDPOINT_WATCH,SUCCESS,35.52,FALSE_POSITIVE
INT-001749,CMP-001749,LIEN_MARK,SUCCESS,45.05,FALSE_POSITIVE
INT-001750,CMP-001750,ENDPOINT_WATCH,SUCCESS,46.74,NOT_ACTED
INT-001751,CMP-001751,JURISDICTION_HANDOFF,PARTIAL,6.43,FALSE_POSITIVE
INT-001752,CMP-001752,JURISDICTION_HANDOFF,PARTIAL,27.73,NOT_ACTED
INT-001753,CMP-001753,ENDPOINT_WATCH,NO_ACTION,30.52,NOT_ACTED
INT-001754,CMP-001754,ENDPOINT_WATCH,PARTIAL,12.95,ACTED
INT-001755,CMP-001755,NO_ACTION,SUCCESS,12.63,ACTED
INT-001756,CMP-001756,NO_ACTION,NO_ACTION,45.58,ACTED
INT-001757,CMP-001757,ACCOUNT_FREEZE,PARTIAL,34.52,ACTED
INT-001758,CMP-001758,JURISDICTION_HANDOFF,SUCCESS,34.57,ACTED
INT-001759,CMP-001759,ACCOUNT_FREEZE,NO_ACTION,8.52,ALREADY_ACTIONED
INT-001760,CMP-001760,JURISDICTION_HANDOFF,SUCCESS,23.27,ALREADY_ACTIONED
INT-001761,CMP-001761,ENDPOINT_WATCH,SUCCESS,15.33,NOT_ACTED
INT-001762,CMP-001762,LIEN_MARK,NO_ACTION,31.25,OUT_OF_SCOPE
INT-001763,CMP-001763,LIEN_MARK,SUCCESS,22.29,NOT_ACTED
INT-001764,CMP-001764,JURISDICTION_HANDOFF,PARTIAL,31.74,ACTED
INT-001765,CMP-001765,JURISDICTION_HANDOFF,SUCCESS,32.56,ACTED
INT-001766,CMP-001766,ACCOUNT_FREEZE,PARTIAL,33.17,FALSE_POSITIVE
INT-001767,CMP-001767,JURISDICTION_HANDOFF,NO_ACTION,11.98,ACTED
INT-001768,CMP-001768,ACCOUNT_FREEZE,SUCCESS,26.76,ALREADY_ACTIONED
INT-001769,CMP-001769,JURISDICTION_HANDOFF,SUCCESS,35.39,OUT_OF_SCOPE
INT-001770,CMP-001770,NO_ACTION,NO_ACTION,27.68,ACTED
INT-001771,CMP-001771,LIEN_MARK,NO_ACTION,11.89,OUT_OF_SCOPE
INT-001772,CMP-001772,ENDPOINT_WATCH,PARTIAL,14.35,NOT_ACTED
INT-001773,CMP-001773,ENDPOINT_WATCH,PARTIAL,28.28,ACTED
INT-001774,CMP-001774,ENDPOINT_WATCH,NO_ACTION,21.63,ACTED
INT-001775,CMP-001775,JURISDICTION_HANDOFF,SUCCESS,46.02,ACTED
INT-001776,CMP-001776,LIEN_MARK,NO_ACTION,36.68,ACTED
INT-001777,CMP-001777,ACCOUNT_FREEZE,PARTIAL,9.77,OUT_OF_SCOPE
INT-001778,CMP-001778,ACCOUNT_FREEZE,SUCCESS,43.82,ACTED
INT-001779,CMP-001779,JURISDICTION_HANDOFF,SUCCESS,4.82,OUT_OF_SCOPE
INT-001780,CMP-001780,JURISDICTION_HANDOFF,SUCCESS,41.86,ACTED
INT-001781,CMP-001781,ACCOUNT_FREEZE,PARTIAL,14.64,OUT_OF_SCOPE
INT-001782,CMP-001782,ENDPOINT_WATCH,SUCCESS,47.17,ACTED
INT-001783,CMP-001783,ENDPOINT_WATCH,SUCCESS,18.69,NOT_ACTED
INT-001784,CMP-001784,JURISDICTION_HANDOFF,PARTIAL,21.79,ACTED
INT-001785,CMP-001785,LIEN_MARK,SUCCESS,17.08,ALREADY_ACTIONED
INT-001786,CMP-001786,ENDPOINT_WATCH,SUCCESS,10.75,ACTED
INT-001787,CMP-001787,JURISDICTION_HANDOFF,PARTIAL,10.37,NOT_ACTED
INT-001788,CMP-001788,LIEN_MARK,PARTIAL,9.91,ACTED
INT-001789,CMP-001789,JURISDICTION_HANDOFF,SUCCESS,32.58,ACTED
INT-001790,CMP-001790,JURISDICTION_HANDOFF,SUCCESS,39.98,ACTED
INT-001791,CMP-001791,LIEN_MARK,NO_ACTION,4.69,ACTED
INT-001792,CMP-001792,JURISDICTION_HANDOFF,NO_ACTION,22.56,ALREADY_ACTIONED
INT-001793,CMP-001793,NO_ACTION,SUCCESS,38.13,ACTED
INT-001794,CMP-001794,ENDPOINT_WATCH,NO_ACTION,10.95,ACTED
INT-001795,CMP-001795,ACCOUNT_FREEZE,PARTIAL,40.01,ACTED
INT-001796,CMP-001796,LIEN_MARK,NO_ACTION,35.96,NOT_ACTED
