entity_id,entity_type,state,external_ref,linked_entity_count,synthetic_risk_seed
ENT-001714,ACCOUNT,Telangana,ENT-REF-539992,33,0.2882
ENT-001715,MERCHANT,Delhi,ENT-REF-658049,62,0.1815
ENT-001716,BENEFICIARY,Maharashtra,ENT-REF-586627,37,0.164
ENT-001717,ACCOUNT,Karnataka,ENT-REF-180194,54,0.2725
ENT-001718,ACCOUNT,Maharashtra,ENT-REF-972015,15,0.1305
ENT-001719,ACCOUNT,Rajasthan,ENT-REF-805186,75,0.1164
ENT-001720,MERCHANT,Rajasthan,ENT-REF-780484,15,0.0705
ENT-001721,BENEFICIARY,Maharashtra,ENT-REF-380486,68,0.0589
ENT-001722,MERCHANT,West Bengal,ENT-REF-466730,63,0.3165
ENT-001723,PHONE,Delhi,ENT-REF-786615,27,0.0405
ENT-001724,BENEFICIARY,Uttar Pradesh,ENT-REF-947128,47,0.4564
ENT-001725,ACCOUNT,Uttar Pradesh,ENT-REF-393290,43,0.1052
ENT-001726,DEVICE,Maharashtra,ENT-REF-599824,26,0.0615
ENT-001727,PHONE,Bihar,ENT-REF-341524,64,0.1987
ENT-001728,PHONE,Maharashtra,ENT-REF-172023,27,0.1411
ENT-001729,DEVICE,Uttar Pradesh,ENT-REF-500955,1,0.0204
ENT-001730,WALLET,Uttar Pradesh,ENT-REF-292190,19,0.3569
ENT-001731,ACCOUNT,Delhi,ENT-REF-357426,70,0.0963
ENT-001732,ACCOUNT,Telangana,ENT-REF-941791,51,0.3311
ENT-001733,MERCHANT,Delhi,ENT-REF-589231,64,0.0319
ENT-001734,PHONE,Karnataka,ENT-REF-452808,60,0.0177
ENT-001735,PHONE,Bihar,ENT-REF-243350,18,0.0072
ENT-001736,ACCOUNT,Uttar Pradesh,ENT-REF-533378,39,0.37
ENT-001737,PHONE,Karnataka,ENT-REF-163458,43,0.1832
ENT-001738,WALLET,Tamil Nadu,ENT-REF-337111,79,0.5735
ENT-001739,PHONE,West Bengal,ENT-REF-958597,30,0.11
ENT-001740,ACCOUNT,Madhya Pradesh,ENT-REF-876830,50,0.0632
ENT-001741,ACCOUNT,Karnataka,ENT-REF-352578,43,0.1057
ENT-001742,PHONE,Madhya Pradesh,ENT-REF-902415,5,0.1844
ENT-001743,BENEFICIARY,Bihar,ENT-REF-413077,53,0.0999
ENT-001744,MERCHANT,Maharashtra,ENT-REF-986695,45,0.2333
ENT-001745,BENEFICIARY,Madhya Pradesh,ENT-REF-554809,19,0.3197
ENT-001746,MERCHANT,Maharashtra,ENT-REF-771101,30,0.0242
ENT-001747,MERCHANT,Madhya Pradesh,ENT-REF-923737,31,0.1888
ENT-001748,ACCOUNT,Delhi,ENT-REF-579352,74,0.02
ENT-001749,PHONE,Bihar,ENT-REF-185132,42,0.5049
ENT-001750,ACCOUNT,Karnataka,ENT-REF-278879,61,0.0089
ENT-001751,DEVICE,Tamil Nadu,ENT-REF-294094,49,0.1964
ENT-001752,ACCOUNT,Madhya Pradesh,ENT-REF-303153,28,0.1715
ENT-001753,ACCOUNT,Madhya Pradesh,ENT-REF-723522,51,0.5063
ENT-001754,PHONE,Bihar,ENT-REF-378964,6,0.0961
ENT-001755,PHONE,Tamil Nadu,ENT-REF-109277,63,0.5604
ENT-001756,ACCOUNT,West Bengal,ENT-REF-546821,7,0.0478
ENT-001757,ACCOUNT,West Bengal,ENT-REF-210288,2,0.3473
ENT-001758,ACCOUNT,Karnataka,ENT-REF-171115,28,0.1343
ENT-001759,WALLET,Bihar,ENT-REF-198600,43,0.1617
ENT-001760,PHONE,Maharashtra,ENT-REF-651011,36,0.1903
ENT-001761,ACCOUNT,Telangana,ENT-REF-555117,25,0.106
ENT-001762,ACCOUNT,Tamil Nadu,ENT-REF-794743,8,0.3566
ENT-001763,WALLET,West Bengal,ENT-REF-211063,64,0.2371
ENT-001764,WALLET,Uttar Pradesh,ENT-REF-528647,5,0.1418
ENT-001765,MERCHANT,Telangana,ENT-REF-545672,18,0.2381
ENT-001766,MERCHANT,Telangana,ENT-REF-111449,58,0.1321
ENT-001767,WALLET,Madhya Pradesh,ENT-REF-459638,27,0.049
ENT-001768,WALLET,West Bengal,ENT-REF-744646,44,0.0426
ENT-001769,ACCOUNT,Maharashtra,ENT-REF-404741,12,0.4407
ENT-001770,PHONE,Uttar Pradesh,ENT-REF-753331,28,0.0542
ENT-001771,ACCOUNT,Telangana,ENT-REF-417092,5,0.1229
ENT-001772,DEVICE,Madhya Pradesh,ENT-REF-861551,28,0.3099
ENT-001773,DEVICE,Madhya Pradesh,ENT-REF-836670,49,0.3554
ENT-001774,ACCOUNT,Madhya Pradesh,ENT-REF-590943,63,0.2242
ENT-001775,ACCOUNT,Delhi,ENT-REF-455161,25,0.2334
ENT-001776,WALLET,Uttar Pradesh,ENT-REF-554542,5,0.3565
ENT-001777,PHONE,Rajasthan,ENT-REF-793082,2,0.1964
ENT-001778,PHONE,Maharashtra,ENT-REF-284821,2,0.111
ENT-001779,PHONE,Telangana,ENT-REF-692738,74,0.1553
ENT-001780,MERCHANT,Rajasthan,ENT-REF-212696,58,0.2171
ENT-001781,PHONE,Uttar Pradesh,ENT-REF-810024,75,0.1234
ENT-001782,DEVICE,Karnataka,ENT-REF-158626,24,0.0847
ENT-001783,WALLET,Delhi,ENT-REF-558775,54,0.0678
ENT-001784,PHONE,Delhi,ENT-REF-511413,53,0.3638
ENT-001785,ACCOUNT,Delhi,ENT-REF-984674,43,0.1499
ENT-001786,BENEFICIARY,Maharashtra,ENT-REF-452859,14,0.2509
ENT-001787,MERCHANT,Madhya Pradesh,ENT-REF-697426,42,0.078
ENT-001788,PHONE,Tamil Nadu,ENT-REF-423654,63,0.1563
ENT-001789,MERCHANT,Tamil Nadu,ENT-REF-673428,20,0.153
ENT-001790,PHONE,West Bengal,ENT-REF-479385,30,0.4635
ENT-001791,BENEFICIARY,Uttar Pradesh,ENT-REF-273561,66,0.1793
ENT-001792,DEVICE,Rajasthan,ENT-REF-404769,49,0.0707
ENT-001793,PHONE,Tamil Nadu,ENT-REF-717054,12,0.2
ENT-001794,ACCOUNT,Rajasthan,ENT-REF-455615,78,0.097
ENT-001795,ACCOUNT,Bihar,ENT-REF-526409,17,0.2471
ENT-001796,PHONE,Maharashtra,ENT-REF-323638,78,0.2749
ENT-001797,ACCOUNT,Uttar Pradesh,ENT-REF-680442,76,0.0663
ENT-001798,ACCOUNT,Delhi,ENT-REF-251126,11,0.1544
ENT-001799,BENEFICIARY,Madhya Pradesh,ENT-REF-622848,3,0.4828
ENT-001800,BENEFICIARY,Rajasthan,ENT-REF-594134,51,0.0257
ENT-001801,MERCHANT,Rajasthan,ENT-REF-748957,79,0.0198
ENT-001802,ACCOUNT,Maharashtra,ENT-REF-353619,61,0.0314
ENT-001803,ACCOUNT,Tamil Nadu,ENT-REF-201444,13,0.2444
ENT-001804,ACCOUNT,Rajasthan,ENT-REF-868521,18,0.3035
ENT-001805,PHONE,Tamil Nadu,ENT-REF-317621,32,0.3475
ENT-001806,PHONE,Madhya Pradesh,ENT-REF-833944,36,0.3027
ENT-001807,MERCHANT,Rajasthan,ENT-REF-524904,59,0.2027
ENT-001808,PHONE,Delhi,ENT-REF-264040,8,0.4218
ENT-001809,PHONE,Madhya Pradesh,ENT-REF-666480,53,0.0585
ENT-001810,DEVICE,Madhya Pradesh,ENT-REF-965794,15,0.1759
ENT-001811,PHONE,Madhya Pradesh,ENT-REF-829916,56,0.0732
ENT-001812,BENEFICIARY,Bihar,ENT-REF-165622,16,0.0213
ENT-001813,BENEFICIARY,Maharashtra,ENT-REF-245858,47,0.127
ENT-001814,PHONE,Telangana,ENT-REF-150610,18,0.1956
ENT-001815,PHONE,Karnataka,ENT-REF-601684,61,0.4177
ENT-001816,WALLET,Tamil Nadu,ENT-REF-102595,8,0.4494
ENT-001817,WALLET,Karnataka,ENT-REF-673332,71,0.0366
ENT-001818,DEVICE,Uttar Pradesh,ENT-REF-477080,59,0.2863
ENT-001819,ACCOUNT,Maharashtra,ENT-REF-285329,59,0.1115
ENT-001820,WALLET,Maharashtra,ENT-REF-117911,58,0.2108
ENT-001821,DEVICE,Tamil Nadu,ENT-REF-124585,31,0.093
ENT-001822,BENEFICIARY,Karnataka,ENT-REF-554038,8,0.1361
ENT-001823,WALLET,Madhya Pradesh,ENT-REF-644854,14,0.0138
ENT-001824,DEVICE,Maharashtra,ENT-REF-516053,55,0.5753
ENT-001825,WALLET,Telangana,ENT-REF-186845,9,0.1323
ENT-001826,DEVICE,Madhya Pradesh,ENT-REF-378028,27,0.1516
ENT-001827,PHONE,West Bengal,ENT-REF-298637,34,0.0762
ENT-001828,WALLET,Tamil Nadu,ENT-REF-198702,56,0.179
ENT-001829,ACCOUNT,West Bengal,ENT-REF-887544,53,0.1623
ENT-001830,ACCOUNT,Uttar Pradesh,ENT-REF-923409,63,0.1049
ENT-001831,WALLET,Bihar,ENT-REF-775117,42,0.1346
ENT-001832,PHONE,Telangana,ENT-REF-217741,47,0.421
ENT-001833,PHONE,West Bengal,ENT-REF-430863,32,0.0884
ENT-001834,MERCHANT,Telangana,ENT-REF-242954,73,0.0346
ENT-001835,PHONE,Tamil Nadu,ENT-REF-300718,11,0.0962
ENT-001836,BENEFICIARY,Rajasthan,ENT-REF-361543,67,0.1412
ENT-001837,BENEFICIARY,Uttar Pradesh,ENT-REF-919749,39,0.1106
ENT-001838,ACCOUNT,Karnataka,ENT-REF-864456,63,0.4737
ENT-001839,BENEFICIARY,Delhi,ENT-REF-592184,70,0.0473
ENT-001840,ACCOUNT,West Bengal,ENT-REF-788481,33,0.2618
ENT-001841,ACCOUNT,Delhi,ENT-REF-592567,64,0.1083
ENT-001842,ACCOUNT,Tamil Nadu,ENT-REF-250859,69,0.1499
ENT-001843,BENEFICIARY,Uttar Pradesh,ENT-REF-549169,4,0.1499
ENT-001844,ACCOUNT,Madhya Pradesh,ENT-REF-519806,21,0.0434
ENT-001845,WALLET,Delhi,ENT-REF-808585,74,0.0923
ENT-001846,PHONE,West Bengal,ENT-REF-461311,48,0.0567
ENT-001847,ACCOUNT,Uttar Pradesh,ENT-REF-854427,74,0.336
ENT-001848,PHONE,Rajasthan,ENT-REF-709628,25,0.0094
ENT-001849,PHONE,West Bengal,ENT-REF-540285,27,0.0808
ENT-001850,WALLET,Telangana,ENT-REF-163132,27,0.2857
ENT-001851,DEVICE,Rajasthan,ENT-REF-140051,8,0.0475
ENT-001852,ACCOUNT,Madhya Pradesh,ENT-REF-901406,70,0.3185
ENT-001853,ACCOUNT,Madhya Pradesh,ENT-REF-509755,11,0.2642
ENT-001854,PHONE,Bihar,ENT-REF-804104,1,0.353
ENT-001855,ACCOUNT,Tamil Nadu,ENT-REF-271166,15,0.1771
ENT-001856,ACCOUNT,Madhya Pradesh,ENT-REF-453775,60,0.2151
ENT-001857,PHONE,Delhi,ENT-REF-665026,15,0.4085
ENT-001858,DEVICE,Karnataka,ENT-REF-886710,43,0.1586
ENT-001859,ACCOUNT,West Bengal,ENT-REF-655905,48,0.3397
ENT-001860,WALLET,Maharashtra,ENT-REF-815755,79,0.0711
ENT-001861,DEVICE,West Bengal,ENT-REF-478403,12,0.0442
ENT-001862,PHONE,Rajasthan,ENT-REF-810868,42,0.2686
ENT-001863,MERCHANT,Rajasthan,ENT-REF-143383,47,0.2865
ENT-001864,ACCOUNT,West Bengal,ENT-REF-107011,54,0.1429
ENT-001865,PHONE,Maharashtra,ENT-REF-708206,35,0.2476
ENT-001866,ACCOUNT,Uttar Pradesh,ENT-REF-248113,18,0.2512
ENT-001867,PHONE,Uttar Pradesh,ENT-REF-947124,12,0.4098
ENT-001868,ACCOUNT,Madhya Pradesh,ENT-REF-129439,64,0.0373
ENT-001869,ACCOUNT,Delhi,ENT-REF-143000,18,0.0738
ENT-001870,BENEFICIARY,Delhi,ENT-REF-131218,48,0.2391
ENT-001871,WALLET,Delhi,ENT-REF-265365,43,0.259
ENT-001872,DEVICE,Maharashtra,ENT-REF-375406,30,0.0974
ENT-001873,PHONE,Delhi,ENT-REF-559579,71,0.183
ENT-001874,ACCOUNT,Maharashtra,ENT-REF-568464,59,0.0692
ENT-001875,PHONE,Delhi,ENT-REF-203133,60,0.2142
ENT-001876,MERCHANT,Karnataka,ENT-REF-462591,76,0.027
ENT-001877,PHONE,Maharashtra,ENT-REF-385763,58,0.1202
ENT-001878,ACCOUNT,Tamil Nadu,ENT-REF-512254,14,0.1051
ENT-001879,WALLET,West Bengal,ENT-REF-443196,61,0.2898
ENT-001880,ACCOUNT,Rajasthan,ENT-REF-544398,79,0.1331
ENT-001881,PHONE,Uttar Pradesh,ENT-REF-125677,36,0.1103
ENT-001882,PHONE,Bihar,ENT-REF-637998,75,0.1202
ENT-001883,WALLET,Bihar,ENT-REF-850880,77,0.1574
ENT-001884,PHONE,Delhi,ENT-REF-528770,44,0.3453
ENT-001885,BENEFICIARY,Telangana,ENT-REF-808804,28,0.0855
ENT-001886,DEVICE,Telangana,ENT-REF-946429,25,0.0519
ENT-001887,WALLET,Rajasthan,ENT-REF-829336,78,0.1861
ENT-001888,DEVICE,West Bengal,ENT-REF-833358,9,0.1362
ENT-001889,ACCOUNT,West Bengal,ENT-REF-177785,12,0.3352
ENT-001890,ACCOUNT,Uttar Pradesh,ENT-REF-106600,61,0.2519
ENT-001891,PHONE,Telangana,ENT-REF-491725,4,0.256
ENT-001892,WALLET,Uttar Pradesh,ENT-REF-393926,15,0.0539
ENT-001893,ACCOUNT,Bihar,ENT-REF-912311,7,0.4592
ENT-001894,DEVICE,Maharashtra,ENT-REF-133027,63,0.0935
ENT-001895,PHONE,Bihar,ENT-REF-734534,33,0.1298
ENT-001896,WALLET,Telangana,ENT-REF-538918,55,0.0135
ENT-001897,BENEFICIARY,Telangana,ENT-REF-947886,37,0.4196
ENT-001898,ACCOUNT,West Bengal,ENT-REF-846886,28,0.2104
ENT-001899,ACCOUNT,Delhi,ENT-REF-666691,28,0.0707
ENT-001900,PHONE,Karnataka,ENT-REF-704546,33,0.068
ENT-001901,BENEFICIARY,Madhya Pradesh,ENT-REF-489173,30,0.0979
ENT-001902,ACCOUNT,Bihar,ENT-REF-392114,24,0.303
ENT-001903,ACCOUNT,Delhi,ENT-REF-148709,72,0.2005
ENT-001904,ACCOUNT,Bihar,ENT-REF-788813,1,0.1482
ENT-001905,ACCOUNT,Karnataka,ENT-REF-623194,18,0.1983
ENT-001906,PHONE,Karnataka,ENT-REF-213187,8,0.0813
ENT-001907,BENEFICIARY,Uttar Pradesh,ENT-REF-458076,72,0.007
ENT-001908,BENEFICIARY,West Bengal,ENT-REF-438542,58,0.0809
ENT-001909,ACCOUNT,West Bengal,ENT-REF-654032,25,0.3982
ENT-001910,WALLET,Madhya Pradesh,ENT-REF-681779,77,0.1638
ENT-001911,ACCOUNT,West Bengal,ENT-REF-819914,66,0.0437
ENT-001912,BENEFICIARY,Karnataka,ENT-REF-156699,6,0.1284
ENT-001913,MERCHANT,West Bengal,ENT-REF-535234,15,0.0146
ENT-001914,PHONE,Madhya Pradesh,ENT-REF-525742,38,0.0478
ENT-001915,BENEFICIARY,Rajasthan,ENT-REF-390677,31,0.0981
ENT-001916,DEVICE,Telangana,ENT-REF-819510,10,0.1773
ENT-001917,DEVICE,Madhya Pradesh,ENT-REF-536569,36,0.2485
ENT-001918,PHONE,Delhi,ENT-REF-241710,24,0.3444
ENT-001919,DEVICE,West Bengal,ENT-REF-640617,77,0.2072
ENT-001920,DEVICE,Uttar Pradesh,ENT-REF-190117,15,0.0415
ENT-001921,PHONE,West Bengal,ENT-REF-500177,39,0.0622
ENT-001922,ACCOUNT,Bihar,ENT-REF-110830,6,0.1244
ENT-001923,PHONE,Madhya Pradesh,ENT-REF-678659,41,0.5387
ENT-001924,ACCOUNT,Rajasthan,ENT-REF-834640,29,0.0681
ENT-001925,MERCHANT,Bihar,ENT-REF-571041,57,0.0467
ENT-001926,WALLET,Madhya Pradesh,ENT-REF-480783,38,0.0547
ENT-001927,MERCHANT,Madhya Pradesh,ENT-REF-326707,3,0.1349
ENT-001928,PHONE,Uttar Pradesh,ENT-REF-377087,63,0.1275
ENT-001929,BENEFICIARY,Maharashtra,ENT-REF-727545,42,0.1652
ENT-001930,DEVICE,Uttar Pradesh,ENT-REF-103798,10,0.0233
ENT-001931,ACCOUNT,Maharashtra,ENT-REF-867260,22,0.0771
ENT-001932,WALLET,Maharashtra,ENT-REF-624413,20,0.1617
ENT-001933,ACCOUNT,West Bengal,ENT-REF-112400,35,0.4023
ENT-001934,BENEFICIARY,Madhya Pradesh,ENT-REF-444039,13,0.07
ENT-001935,MERCHANT,Bihar,ENT-REF-264443,70,0.1612
ENT-001936,ACCOUNT,West Bengal,ENT-REF-905807,12,0.0727
ENT-001937,DEVICE,Maharashtra,ENT-REF-403836,23,0.1692
ENT-001938,MERCHANT,Uttar Pradesh,ENT-REF-992108,69,0.1501
ENT-001939,ACCOUNT,Tamil Nadu,ENT-REF-494896,47,0.2302
ENT-001940,ACCOUNT,Tamil Nadu,ENT-REF-370430,73,0.0273
ENT-001941,DEVICE,West Bengal,ENT-REF-447291,70,0.3289
ENT-001942,BENEFICIARY,Delhi,ENT-REF-716537,20,0.1841
ENT-001943,WALLET,Uttar Pradesh,ENT-REF-849668,7,0.0793
ENT-001944,ACCOUNT,Rajasthan,ENT-REF-387874,78,0.0682
ENT-001945,BENEFICIARY,West Bengal,ENT-REF-729730,1,0.1218
ENT-001946,DEVICE,Telangana,ENT-REF-673928,18,0.017
ENT-001947,ACCOUNT,Bihar,ENT-REF-176226,71,0.29
ENT-001948,WALLET,Karnataka,ENT-REF-324391,78,0.2107
ENT-001949,ACCOUNT,West Bengal,ENT-REF-975467,61,0.2289
ENT-001950,BENEFICIARY,Bihar,ENT-REF-136435,19,0.1932
ENT-001951,PHONE,Rajasthan,ENT-REF-328851,62,0.1222
ENT-001952,DEVICE,Delhi,ENT-REF-968805,64,0.1633
ENT-001953,PHONE,Delhi,ENT-REF-373993,44,0.0772
ENT-001954,PHONE,Karnataka,ENT-REF-876521,47,0.3458
ENT-001955,ACCOUNT,Karnataka,ENT-REF-892170,58,0.0718
ENT-001956,WALLET,Maharashtra,ENT-REF-777190,76,0.1589
ENT-001957,PHONE,Maharashtra,ENT-REF-288512,41,0.339
ENT-001958,MERCHANT,Tamil Nadu,ENT-REF-728177,47,0.1639
ENT-001959,ACCOUNT,Telangana,ENT-REF-112806,73,0.1655
ENT-001960,ACCOUNT,Maharashtra,ENT-REF-315787,47,0.3338
ENT-001961,ACCOUNT,Rajasthan,ENT-REF-308188,72,0.3063
ENT-001962,PHONE,Delhi,ENT-REF-807976,50,0.1889
ENT-001963,ACCOUNT,West Bengal,ENT-REF-240262,50,0.1782
ENT-001964,DEVICE,Telangana,ENT-REF-708295,4,0.2845
ENT-001965,MERCHANT,Delhi,ENT-REF-533908,28,0.1177
ENT-001966,ACCOUNT,West Bengal,ENT-REF-725496,55,0.1158
ENT-001967,PHONE,Rajasthan,ENT-REF-854987,12,0.2439
ENT-001968,BENEFICIARY,Madhya Pradesh,ENT-REF-477243,49,0.1754
ENT-001969,DEVICE,West Bengal,ENT-REF-935832,44,0.4269
ENT-001970,WALLET,Tamil Nadu,ENT-REF-154229,21,0.24
ENT-001971,DEVICE,Karnataka,ENT-REF-861644,61,0.3832
ENT-001972,PHONE,Telangana,ENT-REF-610071,79,0.0146
ENT-001973,ACCOUNT,Bihar,ENT-REF-846744,34,0.0733
ENT-001974,ACCOUNT,Karnataka,ENT-REF-276919,29,0.3863
ENT-001975,MERCHANT,Karnataka,ENT-REF-477329,69,0.1677
ENT-001976,BENEFICIARY,Madhya Pradesh,ENT-REF-698179,66,0.041
ENT-001977,ACCOUNT,West Bengal,ENT-REF-589829,20,0.0177
ENT-001978,PHONE,Uttar Pradesh,ENT-REF-574904,41,0.1929
ENT-001979,MERCHANT,Karnataka,ENT-REF-484089,24,0.1693
ENT-001980,ACCOUNT,Maharashtra,ENT-REF-178627,31,0.3721
ENT-001981,WALLET,West Bengal,ENT-REF-480075,58,0.2767
ENT-001982,ACCOUNT,Madhya Pradesh,ENT-REF-880833,60,0.2529
ENT-001983,DEVICE,Delhi,ENT-REF-115653,54,0.0957
ENT-001984,PHONE,Maharashtra,ENT-REF-913880,63,0.2219
ENT-001985,BENEFICIARY,Telangana,ENT-REF-346942,46,0.3368
ENT-001986,DEVICE,Telangana,ENT-REF-163764,5,0.1962
ENT-001987,ACCOUNT,Telangana,ENT-REF-489218,6,0.2738
ENT-001988,ACCOUNT,Rajasthan,ENT-REF-615689,21,0.4024
ENT-001989,PHONE,West Bengal,ENT-REF-643857,43,0.0949
ENT-001990,ACCOUNT,Uttar Pradesh,ENT-REF-195321,68,0.0037
ENT-001991,BENEFICIARY,Uttar Pradesh,ENT-REF-762296,14,0.3844
ENT-001992,PHONE,West Bengal,ENT-REF-242479,22,0.1466
ENT-001993,MERCHANT,Tamil Nadu,ENT-REF-906401,9,0.1131
ENT-001994,PHONE,Delhi,ENT-REF-638509,70,0.0926
ENT-001995,ACCOUNT,West Bengal,ENT-REF-999473,68,0.2068
ENT-001996,PHONE,Madhya Pradesh,ENT-REF-308638,37,0.0661
ENT-001997,WALLET,Telangana,ENT-REF-195988,34,0.1488
ENT-001998,ACCOUNT,West Bengal,ENT-REF-374097,9,0.0994
ENT-001999,PHONE,Uttar Pradesh,ENT-REF-908647,56,0.3338
ENT-002000,ACCOUNT,Madhya Pradesh,ENT-REF-896925,54,0.0288
ENT-002001,ACCOUNT,Uttar Pradesh,ENT-REF-472861,4,0.0371
ENT-002002,PHONE,Maharashtra,ENT-REF-225072,41,0.0446
ENT-002003,ACCOUNT,Madhya Pradesh,ENT-REF-186531,31,0.0856
ENT-002004,ACCOUNT,Tamil Nadu,ENT-REF-670514,50,0.0293
ENT-002005,BENEFICIARY,Madhya Pradesh,ENT-REF-776858,16,0.2204
ENT-002006,ACCOUNT,Maharashtra,ENT-REF-173603,32,0.1954
ENT-002007,ACCOUNT,Uttar Pradesh,ENT-REF-815615,21,0.0704
ENT-002008,PHONE,Uttar Pradesh,ENT-REF-431029,28,0.098
ENT-002009,ACCOUNT,Rajasthan,ENT-REF-888889,71,0.0992
ENT-002010,BENEFICIARY,Karnataka,ENT-REF-744273,59,0.281
ENT-002011,ACCOUNT,Rajasthan,ENT-REF-173732,24,0.0445
ENT-002012,BENEFICIARY,Rajasthan,ENT-REF-726920,63,0.1651
ENT-002013,BENEFICIARY,Tamil Nadu,ENT-REF-281901,54,0.1436
ENT-002014,ACCOUNT,Rajasthan,ENT-REF-484483,21,0.3398
ENT-002015,PHONE,Delhi,ENT-REF-161487,22,0.2679
ENT-002016,PHONE,Madhya Pradesh,ENT-REF-404386,5,0.0988
ENT-002017,BENEFICIARY,Madhya Pradesh,ENT-REF-143830,51,0.198
ENT-002018,ACCOUNT,Telangana,ENT-REF-243170,29,0.0834
ENT-002019,PHONE,Bihar,ENT-REF-444803,31,0.3099
ENT-002020,BENEFICIARY,Telangana,ENT-REF-678799,73,0.0039
ENT-002021,ACCOUNT,Rajasthan,ENT-REF-540128,19,0.1187
ENT-002022,WALLET,Delhi,ENT-REF-836245,6,0.4038
ENT-002023,BENEFICIARY,Telangana,ENT-REF-790624,74,0.0315
ENT-002024,BENEFICIARY,West Bengal,ENT-REF-225878,73,0.239
ENT-002025,DEVICE,Madhya Pradesh,ENT-REF-269501,64,0.1581
ENT-002026,BENEFICIARY,Uttar Pradesh,ENT-REF-870710,37,0.1219
ENT-002027,PHONE,Uttar Pradesh,ENT-REF-166130,22,0.168
ENT-002028,PHONE,Rajasthan,ENT-REF-696684,72,0.2007
ENT-002029,PHONE,Uttar Pradesh,ENT-REF-514771,55,0.0923
ENT-002030,ACCOUNT,Maharashtra,ENT-REF-529626,52,0.297
ENT-002031,ACCOUNT,Telangana,ENT-REF-120543,27,0.1424
ENT-002032,BENEFICIARY,Tamil Nadu,ENT-REF-819506,5,0.1416
ENT-002033,ACCOUNT,Rajasthan,ENT-REF-796523,25,0.3997
ENT-002034,DEVICE,Karnataka,ENT-REF-679773,4,0.0801
ENT-002035,ACCOUNT,Bihar,ENT-REF-715605,15,0.0164
ENT-002036,PHONE,Rajasthan,ENT-REF-658353,42,0.2291
ENT-002037,ACCOUNT,Rajasthan,ENT-REF-496995,23,0.0328
ENT-002038,BENEFICIARY,Delhi,ENT-REF-941442,73,0.1156
ENT-002039,ACCOUNT,Rajasthan,ENT-REF-766578,79,0.1251
ENT-002040,ACCOUNT,Karnataka,ENT-REF-979124,14,0.3937
ENT-002041,DEVICE,Karnataka,ENT-REF-842511,76,0.2315
ENT-002042,ACCOUNT,Rajasthan,ENT-REF-188540,24,0.4436
ENT-002043,ACCOUNT,Maharashtra,ENT-REF-307101,41,0.0551
ENT-002044,BENEFICIARY,Maharashtra,ENT-REF-984426,65,0.3407
ENT-002045,ACCOUNT,Bihar,ENT-REF-885563,9,0.2408
ENT-002046,MERCHANT,Madhya Pradesh,ENT-REF-285478,17,0.103
ENT-002047,PHONE,West Bengal,ENT-REF-936059,30,0.263
ENT-002048,ACCOUNT,Madhya Pradesh,ENT-REF-271471,73,0.0841
ENT-002049,ACCOUNT,Madhya Pradesh,ENT-REF-519748,70,0.1262
ENT-002050,WALLET,Karnataka,ENT-REF-378069,76,0.0203
ENT-002051,WALLET,West Bengal,ENT-REF-407795,12,0.2198
ENT-002052,WALLET,Telangana,ENT-REF-141551,57,0.1992
ENT-002053,ACCOUNT,Tamil Nadu,ENT-REF-137209,72,0.2018
ENT-002054,BENEFICIARY,Tamil Nadu,ENT-REF-706037,40,0.0976
ENT-002055,BENEFICIARY,Tamil Nadu,ENT-REF-331588,23,0.2522
ENT-002056,PHONE,Maharashtra,ENT-REF-449788,51,0.3053
ENT-002057,PHONE,Uttar Pradesh,ENT-REF-452798,18,0.0802
ENT-002058,DEVICE,Karnataka,ENT-REF-198413,62,0.3814
ENT-002059,PHONE,Maharashtra,ENT-REF-547621,12,0.1417
ENT-002060,PHONE,Karnataka,ENT-REF-857318,27,0.0126
ENT-002061,ACCOUNT,Bihar,ENT-REF-106138,46,0.3932
ENT-002062,DEVICE,Karnataka,ENT-REF-593641,78,0.0795
ENT-002063,BENEFICIARY,Madhya Pradesh,ENT-REF-313118,43,0.1205
ENT-002064,DEVICE,Bihar,ENT-REF-232219,43,0.1142
ENT-002065,ACCOUNT,Maharashtra,ENT-REF-168894,65,0.2562
ENT-002066,BENEFICIARY,Bihar,ENT-REF-396772,4,0.143
ENT-002067,PHONE,Madhya Pradesh,ENT-REF-492531,42,0.5273
ENT-002068,DEVICE,Tamil Nadu,ENT-REF-874277,24,0.34
ENT-002069,PHONE,Uttar Pradesh,ENT-REF-625769,10,0.0999
ENT-002070,ACCOUNT,Tamil Nadu,ENT-REF-979461,43,0.2067
ENT-002071,WALLET,Madhya Pradesh,ENT-REF-421114,52,0.0958
ENT-002072,PHONE,Madhya Pradesh,ENT-REF-463157,13,0.0504
ENT-002073,ACCOUNT,Karnataka,ENT-REF-712680,15,0.2498
ENT-002074,PHONE,West Bengal,ENT-REF-894292,57,0.5084
ENT-002075,ACCOUNT,Maharashtra,ENT-REF-966977,54,0.0101
ENT-002076,BENEFICIARY,Rajasthan,ENT-REF-139144,36,0.0759
ENT-002077,PHONE,West Bengal,ENT-REF-395754,68,0.1608
ENT-002078,ACCOUNT,West Bengal,ENT-REF-356907,19,0.1958
ENT-002079,BENEFICIARY,Bihar,ENT-REF-688426,27,0.4369
ENT-002080,BENEFICIARY,Delhi,ENT-REF-738880,29,0.056
ENT-002081,ACCOUNT,Telangana,ENT-REF-955847,52,0.0331
ENT-002082,PHONE,Telangana,ENT-REF-453340,43,0.1022
