group_id,complaint_a,complaint_b,shared_entities,shared_endpoints,window_hours,decision,proposal_source
GRP-00301,CMP-008959,CMP-009458,11,4,23,REJECTED,AUTO_SUGGESTED
GRP-00302,CMP-009447,CMP-004722,16,1,7,REJECTED,HUMAN_REVIEW
GRP-00303,CMP-003106,CMP-002048,4,4,7,REJECTED,AUTO_SUGGESTED
GRP-00304,CMP-001682,CMP-002225,19,2,5,SPLIT,AUTO_SUGGESTED
GRP-00305,CMP-009142,CMP-003159,16,1,18,ACCEPTED,AUTO_SUGGESTED
GRP-00306,CMP-001445,CMP-005056,12,2,21,PROPOSED,HUMAN_REVIEW
GRP-00307,CMP-004836,CMP-009817,8,1,23,SPLIT,HUMAN_REVIEW
GRP-00308,CMP-006685,CMP-008573,13,1,13,ACCEPTED,HUMAN_REVIEW
GRP-00309,CMP-008194,CMP-009396,5,3,7,REJECTED,AUTO_SUGGESTED
GRP-00310,CMP-007774,CMP-005265,4,3,1,REJECTED,HUMAN_REVIEW
GRP-00311,CMP-000940,CMP-008160,4,2,8,REJECTED,HUMAN_REVIEW
GRP-00312,CMP-008436,CMP-003045,6,3,11,SPLIT,HUMAN_REVIEW
GRP-00313,CMP-007361,CMP-005456,19,1,21,REJECTED,AUTO_SUGGESTED
GRP-00314,CMP-005250,CMP-003563,7,1,18,SPLIT,AUTO_SUGGESTED
GRP-00315,CMP-005142,CMP-001268,8,2,15,REJECTED,HUMAN_REVIEW
GRP-00316,CMP-000441,CMP-002318,11,3,20,SPLIT,AUTO_SUGGESTED
GRP-00317,CMP-004405,CMP-009906,10,1,8,SPLIT,AUTO_SUGGESTED
GRP-00318,CMP-002637,CMP-003936,14,2,15,PROPOSED,AUTO_SUGGESTED
GRP-00319,CMP-006732,CMP-008761,3,2,15,SPLIT,AUTO_SUGGESTED
GRP-00320,CMP-007729,CMP-003721,4,1,15,SPLIT,AUTO_SUGGESTED
GRP-00321,CMP-008821,CMP-000496,3,4,5,PROPOSED,HUMAN_REVIEW
GRP-00322,CMP-000735,CMP-009666,13,4,1,REJECTED,AUTO_SUGGESTED
GRP-00323,CMP-007554,CMP-004967,10,1,4,ACCEPTED,AUTO_SUGGESTED
GRP-00324,CMP-005498,CMP-009446,17,4,8,SPLIT,AUTO_SUGGESTED
GRP-00325,CMP-005748,CMP-006481,10,3,6,SPLIT,AUTO_SUGGESTED
GRP-00326,CMP-007185,CMP-009729,19,1,9,SPLIT,HUMAN_REVIEW
GRP-00327,CMP-002703,CMP-000540,12,1,2,PROPOSED,AUTO_SUGGESTED
GRP-00328,CMP-005338,CMP-001555,9,4,8,ACCEPTED,AUTO_SUGGESTED
GRP-00329,CMP-002665,CMP-008217,8,3,8,ACCEPTED,AUTO_SUGGESTED
GRP-00330,CMP-008173,CMP-007250,6,1,14,PROPOSED,AUTO_SUGGESTED
GRP-00331,CMP-004504,CMP-008344,5,2,1,ACCEPTED,HUMAN_REVIEW
GRP-00332,CMP-009499,CMP-001860,16,3,2,PROPOSED,HUMAN_REVIEW
GRP-00333,CMP-001252,CMP-002975,18,3,18,PROPOSED,AUTO_SUGGESTED
GRP-00334,CMP-000625,CMP-008602,10,2,9,ACCEPTED,AUTO_SUGGESTED
GRP-00335,CMP-000934,CMP-006956,16,2,6,PROPOSED,HUMAN_REVIEW
GRP-00336,CMP-001054,CMP-002832,9,2,9,ACCEPTED,AUTO_SUGGESTED
GRP-00337,CMP-000024,CMP-004078,3,2,14,REJECTED,HUMAN_REVIEW
GRP-00338,CMP-005052,CMP-006173,19,4,18,REJECTED,HUMAN_REVIEW
GRP-00339,CMP-002923,CMP-003055,12,1,8,PROPOSED,HUMAN_REVIEW
GRP-00340,CMP-009007,CMP-009260,7,2,5,PROPOSED,HUMAN_REVIEW
GRP-00341,CMP-008076,CMP-001022,10,1,22,REJECTED,HUMAN_REVIEW
GRP-00342,CMP-006077,CMP-007555,16,4,21,SPLIT,AUTO_SUGGESTED
GRP-00343,CMP-003567,CMP-004368,11,1,23,PROPOSED,AUTO_SUGGESTED
GRP-00344,CMP-007686,CMP-008876,6,2,23,REJECTED,AUTO_SUGGESTED
GRP-00345,CMP-007533,CMP-000822,6,3,20,PROPOSED,HUMAN_REVIEW
GRP-00346,CMP-009727,CMP-001200,9,1,9,SPLIT,HUMAN_REVIEW
GRP-00347,CMP-002684,CMP-003829,4,2,14,ACCEPTED,HUMAN_REVIEW
GRP-00348,CMP-007968,CMP-009991,2,2,14,REJECTED,HUMAN_REVIEW
GRP-00349,CMP-007546,CMP-004814,16,2,12,SPLIT,HUMAN_REVIEW
GRP-00350,CMP-009246,CMP-004577,14,2,7,ACCEPTED,AUTO_SUGGESTED
GRP-00351,CMP-009745,CMP-004506,3,3,4,PROPOSED,AUTO_SUGGESTED
GRP-00352,CMP-003867,CMP-001614,8,2,8,REJECTED,AUTO_SUGGESTED
GRP-00353,CMP-000239,CMP-009614,17,4,18,SPLIT,HUMAN_REVIEW
GRP-00354,CMP-002698,CMP-002398,5,3,11,ACCEPTED,AUTO_SUGGESTED
GRP-00355,CMP-000007,CMP-002081,4,2,2,PROPOSED,HUMAN_REVIEW
GRP-00356,CMP-002166,CMP-009993,9,4,12,REJECTED,HUMAN_REVIEW
GRP-00357,CMP-000879,CMP-005478,8,2,1,PROPOSED,HUMAN_REVIEW
GRP-00358,CMP-001715,CMP-000438,14,2,8,SPLIT,HUMAN_REVIEW
GRP-00359,CMP-004900,CMP-002049,13,4,2,REJECTED,AUTO_SUGGESTED
GRP-00360,CMP-002774,CMP-006815,9,3,12,ACCEPTED,AUTO_SUGGESTED
GRP-00361,CMP-001146,CMP-008068,19,3,5,ACCEPTED,HUMAN_REVIEW
GRP-00362,CMP-001028,CMP-004569,4,2,14,SPLIT,AUTO_SUGGESTED
GRP-00363,CMP-009965,CMP-007241,10,3,22,PROPOSED,HUMAN_REVIEW
GRP-00364,CMP-008349,CMP-001451,8,1,17,REJECTED,HUMAN_REVIEW
GRP-00365,CMP-008429,CMP-001251,2,3,7,SPLIT,AUTO_SUGGESTED
GRP-00366,CMP-006911,CMP-007254,19,3,4,SPLIT,HUMAN_REVIEW
GRP-00367,CMP-008793,CMP-000197,2,4,14,REJECTED,AUTO_SUGGESTED
GRP-00368,CMP-008814,CMP-002068,7,3,5,REJECTED,AUTO_SUGGESTED
GRP-00369,CMP-000888,CMP-007306,4,4,10,REJECTED,HUMAN_REVIEW
GRP-00370,CMP-001102,CMP-002648,16,1,10,PROPOSED,HUMAN_REVIEW
GRP-00371,CMP-008041,CMP-004919,10,3,7,REJECTED,HUMAN_REVIEW
GRP-00372,CMP-006064,CMP-008654,10,4,14,REJECTED,HUMAN_REVIEW
GRP-00373,CMP-003765,CMP-001864,13,1,5,SPLIT,HUMAN_REVIEW
GRP-00374,CMP-000592,CMP-003777,11,2,3,PROPOSED,HUMAN_REVIEW
GRP-00375,CMP-000539,CMP-009907,13,1,20,ACCEPTED,HUMAN_REVIEW
GRP-00376,CMP-001219,CMP-000082,2,2,4,REJECTED,AUTO_SUGGESTED
GRP-00377,CMP-003556,CMP-006694,7,2,2,REJECTED,AUTO_SUGGESTED
GRP-00378,CMP-006791,CMP-004897,12,4,4,PROPOSED,AUTO_SUGGESTED
GRP-00379,CMP-003503,CMP-006493,8,1,8,PROPOSED,AUTO_SUGGESTED
GRP-00380,CMP-005453,CMP-002213,3,3,18,REJECTED,AUTO_SUGGESTED
GRP-00381,CMP-009539,CMP-008401,16,2,8,PROPOSED,AUTO_SUGGESTED
GRP-00382,CMP-002193,CMP-005614,10,2,6,REJECTED,AUTO_SUGGESTED
GRP-00383,CMP-002897,CMP-002495,15,3,15,REJECTED,HUMAN_REVIEW
GRP-00384,CMP-007943,CMP-007045,7,1,15,REJECTED,HUMAN_REVIEW
GRP-00385,CMP-006201,CMP-005185,3,2,17,REJECTED,HUMAN_REVIEW
GRP-00386,CMP-001948,CMP-009030,10,1,1,PROPOSED,AUTO_SUGGESTED
GRP-00387,CMP-005543,CMP-006166,7,4,20,SPLIT,AUTO_SUGGESTED
GRP-00388,CMP-008472,CMP-003106,3,3,23,REJECTED,HUMAN_REVIEW
GRP-00389,CMP-004472,CMP-002103,11,3,15,ACCEPTED,HUMAN_REVIEW
GRP-00390,CMP-001578,CMP-009461,10,2,9,SPLIT,AUTO_SUGGESTED
GRP-00391,CMP-004825,CMP-002613,16,4,21,PROPOSED,AUTO_SUGGESTED
GRP-00392,CMP-007352,CMP-003617,6,4,13,PROPOSED,AUTO_SUGGESTED
GRP-00393,CMP-004313,CMP-007988,8,2,11,PROPOSED,HUMAN_REVIEW
GRP-00394,CMP-005772,CMP-009083,4,2,12,PROPOSED,AUTO_SUGGESTED
GRP-00395,CMP-006327,CMP-002268,5,2,16,REJECTED,HUMAN_REVIEW
GRP-00396,CMP-000861,CMP-009505,7,1,8,ACCEPTED,AUTO_SUGGESTED
GRP-00397,CMP-002156,CMP-008330,14,2,7,REJECTED,AUTO_SUGGESTED
GRP-00398,CMP-006214,CMP-003891,7,4,10,PROPOSED,HUMAN_REVIEW
GRP-00399,CMP-009892,CMP-000296,12,1,12,ACCEPTED,HUMAN_REVIEW
GRP-00400,CMP-004674,CMP-007071,11,2,9,REJECTED,HUMAN_REVIEW
GRP-00401,CMP-008827,CMP-004819,12,3,21,SPLIT,AUTO_SUGGESTED
GRP-00402,CMP-000049,CMP-005767,14,4,8,REJECTED,HUMAN_REVIEW
GRP-00403,CMP-001778,CMP-002954,3,3,8,ACCEPTED,HUMAN_REVIEW
GRP-00404,CMP-007051,CMP-005186,6,1,11,REJECTED,AUTO_SUGGESTED
GRP-00405,CMP-009592,CMP-001738,6,2,8,SPLIT,AUTO_SUGGESTED
GRP-00406,CMP-000446,CMP-008563,3,2,16,REJECTED,HUMAN_REVIEW
GRP-00407,CMP-008970,CMP-002011,4,3,17,REJECTED,HUMAN_REVIEW
GRP-00408,CMP-007362,CMP-005708,8,4,6,ACCEPTED,AUTO_SUGGESTED
GRP-00409,CMP-001957,CMP-004362,9,1,15,ACCEPTED,HUMAN_REVIEW
GRP-00410,CMP-000872,CMP-001460,18,4,17,PROPOSED,AUTO_SUGGESTED
GRP-00411,CMP-007497,CMP-008225,8,4,4,SPLIT,AUTO_SUGGESTED
GRP-00412,CMP-005123,CMP-005687,5,1,20,ACCEPTED,AUTO_SUGGESTED
GRP-00413,CMP-006751,CMP-000250,15,1,14,PROPOSED,HUMAN_REVIEW
GRP-00414,CMP-004730,CMP-007955,5,1,18,SPLIT,AUTO_SUGGESTED
GRP-00415,CMP-003628,CMP-009828,19,4,16,REJECTED,HUMAN_REVIEW
GRP-00416,CMP-004514,CMP-002026,8,2,23,ACCEPTED,HUMAN_REVIEW
GRP-00417,CMP-005518,CMP-009346,7,4,10,ACCEPTED,HUMAN_REVIEW
GRP-00418,CMP-007292,CMP-002990,5,2,14,REJECTED,AUTO_SUGGESTED
GRP-00419,CMP-001620,CMP-003091,16,2,8,PROPOSED,HUMAN_REVIEW
GRP-00420,CMP-009500,CMP-005569,2,4,3,SPLIT,AUTO_SUGGESTED
GRP-00421,CMP-003921,CMP-009711,13,3,14,REJECTED,HUMAN_REVIEW
GRP-00422,CMP-005607,CMP-006309,2,1,4,SPLIT,AUTO_SUGGESTED
GRP-00423,CMP-005849,CMP-001867,7,3,12,SPLIT,HUMAN_REVIEW
GRP-00424,CMP-004593,CMP-001151,2,3,2,REJECTED,AUTO_SUGGESTED
GRP-00425,CMP-000783,CMP-004623,17,1,9,ACCEPTED,AUTO_SUGGESTED
GRP-00426,CMP-005533,CMP-007787,18,2,1,PROPOSED,AUTO_SUGGESTED
GRP-00427,CMP-008432,CMP-006159,10,1,11,ACCEPTED,HUMAN_REVIEW
GRP-00428,CMP-003877,CMP-008100,9,4,17,ACCEPTED,AUTO_SUGGESTED
GRP-00429,CMP-009278,CMP-004866,11,2,7,PROPOSED,AUTO_SUGGESTED
GRP-00430,CMP-008118,CMP-009822,2,4,6,SPLIT,AUTO_SUGGESTED
GRP-00431,CMP-004774,CMP-005542,19,4,6,PROPOSED,AUTO_SUGGESTED
GRP-00432,CMP-007098,CMP-006469,14,2,1,ACCEPTED,AUTO_SUGGESTED
GRP-00433,CMP-006655,CMP-008119,2,2,9,PROPOSED,HUMAN_REVIEW
GRP-00434,CMP-006381,CMP-009092,7,4,7,SPLIT,AUTO_SUGGESTED
GRP-00435,CMP-009176,CMP-000330,6,1,4,ACCEPTED,AUTO_SUGGESTED
GRP-00436,CMP-008731,CMP-001441,3,4,13,REJECTED,AUTO_SUGGESTED
GRP-00437,CMP-009697,CMP-007014,12,4,17,PROPOSED,HUMAN_REVIEW
GRP-00438,CMP-004278,CMP-007465,9,1,3,REJECTED,AUTO_SUGGESTED
GRP-00439,CMP-004374,CMP-009782,9,2,21,SPLIT,AUTO_SUGGESTED
GRP-00440,CMP-002000,CMP-008322,14,1,9,ACCEPTED,AUTO_SUGGESTED
GRP-00441,CMP-004389,CMP-008238,16,2,14,REJECTED,AUTO_SUGGESTED
GRP-00442,CMP-003887,CMP-003208,9,2,15,SPLIT,AUTO_SUGGESTED
GRP-00443,CMP-007175,CMP-001133,19,3,7,PROPOSED,HUMAN_REVIEW
GRP-00444,CMP-003936,CMP-007103,9,4,22,REJECTED,AUTO_SUGGESTED
GRP-00445,CMP-002821,CMP-002648,3,2,7,SPLIT,AUTO_SUGGESTED
GRP-00446,CMP-006167,CMP-007776,13,2,1,ACCEPTED,HUMAN_REVIEW
GRP-00447,CMP-005610,CMP-002108,10,1,16,SPLIT,AUTO_SUGGESTED
GRP-00448,CMP-003713,CMP-004375,4,4,14,ACCEPTED,HUMAN_REVIEW
GRP-00449,CMP-005342,CMP-003384,16,2,7,PROPOSED,HUMAN_REVIEW
GRP-00450,CMP-008912,CMP-000462,2,3,13,REJECTED,AUTO_SUGGESTED
GRP-00451,CMP-006418,CMP-004578,10,4,17,SPLIT,HUMAN_REVIEW
GRP-00452,CMP-001495,CMP-006054,12,1,1,ACCEPTED,AUTO_SUGGESTED
GRP-00453,CMP-001456,CMP-004923,18,3,22,SPLIT,AUTO_SUGGESTED
GRP-00454,CMP-003676,CMP-009100,13,4,14,REJECTED,AUTO_SUGGESTED
GRP-00455,CMP-001633,CMP-009229,9,2,13,REJECTED,AUTO_SUGGESTED
GRP-00456,CMP-000438,CMP-005716,12,1,9,REJECTED,HUMAN_REVIEW
GRP-00457,CMP-007999,CMP-008662,2,4,18,REJECTED,AUTO_SUGGESTED
GRP-00458,CMP-002244,CMP-001478,17,3,5,PROPOSED,AUTO_SUGGESTED
GRP-00459,CMP-009492,CMP-004809,17,4,10,PROPOSED,HUMAN_REVIEW
GRP-00460,CMP-001997,CMP-003034,17,2,13,ACCEPTED,AUTO_SUGGESTED
GRP-00461,CMP-003785,CMP-002069,16,3,12,PROPOSED,AUTO_SUGGESTED
GRP-00462,CMP-003687,CMP-009115,18,3,7,REJECTED,HUMAN_REVIEW
GRP-00463,CMP-008954,CMP-004767,7,2,22,REJECTED,HUMAN_REVIEW
GRP-00464,CMP-005261,CMP-003620,3,3,10,SPLIT,HUMAN_REVIEW
GRP-00465,CMP-002171,CMP-009531,6,4,18,SPLIT,HUMAN_REVIEW
GRP-00466,CMP-007174,CMP-002374,18,2,4,SPLIT,AUTO_SUGGESTED
GRP-00467,CMP-008444,CMP-000097,19,4,16,REJECTED,HUMAN_REVIEW
GRP-00468,CMP-001305,CMP-002429,18,1,17,PROPOSED,HUMAN_REVIEW
GRP-00469,CMP-008429,CMP-005247,3,4,23,ACCEPTED,HUMAN_REVIEW
GRP-00470,CMP-006890,CMP-009214,11,2,12,REJECTED,HUMAN_REVIEW
GRP-00471,CMP-000970,CMP-004106,9,2,2,PROPOSED,HUMAN_REVIEW
GRP-00472,CMP-002540,CMP-002556,14,3,4,SPLIT,AUTO_SUGGESTED
GRP-00473,CMP-002707,CMP-005182,12,2,10,ACCEPTED,HUMAN_REVIEW
GRP-00474,CMP-007582,CMP-000450,15,1,12,ACCEPTED,AUTO_SUGGESTED
GRP-00475,CMP-004405,CMP-002306,6,2,21,REJECTED,HUMAN_REVIEW
GRP-00476,CMP-000573,CMP-006198,5,4,8,PROPOSED,HUMAN_REVIEW
GRP-00477,CMP-000839,CMP-006199,3,3,15,REJECTED,AUTO_SUGGESTED
GRP-00478,CMP-001818,CMP-008543,15,2,23,SPLIT,HUMAN_REVIEW
GRP-00479,CMP-003685,CMP-008814,15,2,7,REJECTED,AUTO_SUGGESTED
GRP-00480,CMP-008632,CMP-006975,14,4,20,SPLIT,HUMAN_REVIEW
GRP-00481,CMP-006583,CMP-009021,17,3,17,PROPOSED,AUTO_SUGGESTED
GRP-00482,CMP-002953,CMP-009135,11,2,14,ACCEPTED,AUTO_SUGGESTED
GRP-00483,CMP-007092,CMP-004183,19,1,18,PROPOSED,AUTO_SUGGESTED
GRP-00484,CMP-004736,CMP-009099,11,3,11,ACCEPTED,HUMAN_REVIEW
GRP-00485,CMP-001275,CMP-006536,18,1,7,ACCEPTED,HUMAN_REVIEW
GRP-00486,CMP-004824,CMP-006071,8,4,1,SPLIT,AUTO_SUGGESTED
GRP-00487,CMP-004212,CMP-004087,11,3,15,REJECTED,AUTO_SUGGESTED
GRP-00488,CMP-001994,CMP-007612,4,1,17,REJECTED,AUTO_SUGGESTED
GRP-00489,CMP-005718,CMP-001182,6,1,11,SPLIT,HUMAN_REVIEW
GRP-00490,CMP-001605,CMP-001014,8,3,13,REJECTED,HUMAN_REVIEW
GRP-00491,CMP-008851,CMP-008010,3,4,3,PROPOSED,AUTO_SUGGESTED
GRP-00492,CMP-007573,CMP-008226,10,2,20,ACCEPTED,HUMAN_REVIEW
GRP-00493,CMP-003468,CMP-001353,15,4,7,REJECTED,AUTO_SUGGESTED
GRP-00494,CMP-009180,CMP-007097,7,1,3,PROPOSED,HUMAN_REVIEW
GRP-00495,CMP-007822,CMP-007575,5,1,13,REJECTED,HUMAN_REVIEW
GRP-00496,CMP-000490,CMP-009735,11,3,4,PROPOSED,AUTO_SUGGESTED
GRP-00497,CMP-007080,CMP-000658,14,4,21,REJECTED,AUTO_SUGGESTED
GRP-00498,CMP-007061,CMP-004915,19,1,12,PROPOSED,HUMAN_REVIEW
GRP-00499,CMP-008386,CMP-000969,13,1,20,REJECTED,AUTO_SUGGESTED
GRP-00500,CMP-003666,CMP-009150,4,4,22,REJECTED,AUTO_SUGGESTED
